Date,Chennai Positive %
03-Jul,20.5
04-Jul,16.5
05-Jul,16.6
06-Jul,18.6
07-Jul,11.9
08-Jul,15.5
09-Jul,14.0
10-Jul,13.1
11-Jul,14.1
12-Jul,11.6
13-Jul,13.3
14-Jul,11.4
15-Jul,12.1
16-Jul,10.2
17-Jul,10.1
18-Jul,9.5
19-Jul,8.9
20-Jul,9.4
21-Jul,10.3
22-Jul,9.4
23-Jul,11.2
24-Jul,10.4
25-Jul,12.0
26-Jul,10.5
27-Jul,10.2
28-Jul,9.8
29-Jul,8.8
30-Jul,9.1
31-Jul,8.9
01-Aug,8.9
02-Aug,8.6
03-Aug,9.2
04-Aug,10.0
05-Aug,8.9
06-Aug,9.4
07-Aug,8.1
08-Aug,7.0
09-Aug,7.7
10-Aug,7.9
11-Aug,8.9
12-Aug,8.0
13-Aug,9.0
14-Aug,9.3
15-Aug,10.0
16-Aug,10.5
17-Aug,10.0
18-Aug,10.3
19-Aug,9.5
20-Aug,9.3
21-Aug,9.9
22-Aug,10.7
23-Aug,10.3
24-Aug,9.7
25-Aug,10.5
26-Aug,9.7
27-Aug,9.6
28-Aug,9.4
29-Aug,9.5
30-Aug,9.5
31-Aug,8.7
01-Sep,8.1
02-Sep,7.8
03-Sep,8.5
04-Sep,7.9
05-Sep,7.8
06-Sep,7.7
07-Sep,8.5
08-Sep,8.1
09-Sep,8.2
10-Sep,7.9
11-Sep,7.8
12-Sep,7.9
13-Sep,8.2
14-Sep,8.1
15-Sep,8.0
16-Sep,8.3
17-Sep,8.4
18-Sep,8.3
19-Sep,8.6
20-Sep,8.5
21-Sep,8.4
22-Sep,8.6
23-Sep,8.4
24-Sep,8.1
25-Sep,9.1
26-Sep,9.6
27-Sep,10.0
28-Sep,10.4
29-Sep,9.7
30-Sep,10.7
01-Oct,9.8
02-Oct,10.4
03-Oct,10.0
04-Oct,10.0
05-Oct,9.8
06-Oct,9.5
07-Oct,9.7
08-Oct,9.5
09-Oct,9.2
10-Oct,9.5
11-Oct,9.1
12-Oct,9.2
13-Oct,8.8
14-Oct,8.3
15-Oct,8.4
16-Oct,8.5
17-Oct,8.5
18-Oct,8.2
19-Oct,7.3
20-Oct,7.2
21-Oct,7.0
22-Oct,7.1
23-Oct,7.1
24-Oct,7.0
25-Oct,6.9
26-Oct,7.1
27-Oct,6.8
28-Oct,6.4
29-Oct,6.9
30-Oct,6.4
31-Oct,6.5
01-Nov,6.4
02-Nov,6.3
03-Nov,6.4
04-Nov,6.0
05-Nov,5.4
06-Nov,5.3
07-Nov,5.4
08-Nov,5.7
09-Nov,5.4
10-Nov,5.5
11-Nov,5.7
12-Nov,5.3
13-Nov,5.0
14-Nov,5.4
15-Nov,6.3
16-Nov,6.6
17-Nov,6.3
18-Nov,4.6
19-Nov,5.2
20-Nov,4.9
21-Nov,4.8
22-Nov,5.1
23-Nov,4.7
24-Nov,4.6
25-Nov,4.6
26-Nov,5.3
